GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Audio Analyzer App,org.hammer.audio,JavaSoundCaptureDeviceDiscovery.SystemMixerCatalog,12,0,2,0,2,0,3,0,2,0
Audio Analyzer App,org.hammer.audio,DefaultAudioLineProvider,78,10,6,0,20,5,5,2,2,2
Audio Analyzer App,org.hammer.audio,RecordingPreflight,19,69,1,5,4,15,3,5,2,3
Audio Analyzer App,org.hammer.audio,JavaSoundCaptureDeviceDiscovery,10,124,4,10,4,24,5,8,1,5
Audio Analyzer App,org.hammer.audio,AudioCaptureServiceImpl,99,489,14,30,30,120,18,25,5,16
Audio Analyzer App,org.hammer.audio,AudioBlockBroadcaster.Subscription,56,0,4,0,17,0,6,0,4,0
Audio Analyzer App,org.hammer.audio,RecordingBlockQueue,0,35,0,0,0,9,0,6,0,6
Audio Analyzer App,org.hammer.audio,JavaSoundMicrophoneArraySource,58,202,8,12,17,52,12,8,4,6
Audio Analyzer App,org.hammer.audio,AudioBlockBroadcaster,17,25,1,1,3,6,2,3,1,3
Audio Analyzer App,org.hammer.audio,RecordingTap,241,576,32,32,72,144,34,24,8,18
Audio Analyzer App,org.hammer.audio,ActiveAudioCaptureRegistry,14,18,4,0,4,5,3,3,1,3
Audio Analyzer App,org.hammer.audio,RecordingStatusListeners,30,21,1,1,9,5,3,3,2,3
Audio Analyzer App,org.hammer.audio,DemoAudioCaptureService,70,289,13,15,25,70,18,14,7,10
Audio Analyzer App,org.hammer.audio,WaveformModel,39,139,4,12,3,24,5,13,1,9
Audio Analyzer App,org.hammer.audio,RecordedAudioCaptureService,116,268,19,13,38,71,22,13,9,10
Audio Analyzer App,org.hammer.audio,RecordingWorker,5,50,0,0,2,15,1,5,1,5
Audio Analyzer App,org.hammer.audio,AudioCaptureService,14,0,0,0,5,0,4,0,4,0
Audio Analyzer App,org.hammer,AudioAnalyseFrame.new WindowAdapter() {...},43,0,8,0,10,0,6,0,2,0
Audio Analyzer App,org.hammer,DiagnosisPanel,331,0,18,0,72,0,19,0,9,0
Audio Analyzer App,org.hammer,AudioAnalyseFrame.InputMode,15,0,0,0,3,0,1,0,1,0
Audio Analyzer App,org.hammer,AudioAnalyseFrame.AudioDeviceItem,19,0,2,0,4,0,3,0,2,0
Audio Analyzer App,org.hammer,ExperimentDocumentPreviewFormatter,2,195,3,5,2,43,3,5,0,4
Audio Analyzer App,org.hammer,ExperimentDocumentSwingActions.new SwingWorker() {...},54,0,0,0,11,0,3,0,3,0
Audio Analyzer App,org.hammer,ExperimentAudioAnalyseFrame,830,0,78,0,193,0,66,0,27,0
Audio Analyzer App,org.hammer,AudioAnalyseFrame.new ChangeListener() {...},31,0,2,0,7,0,3,0,2,0
Audio Analyzer App,org.hammer,PhaseDiagramCanvas,406,24,18,0,70,6,14,3,5,3
Audio Analyzer App,org.hammer,SpectrogramPanel,730,0,64,0,145,0,46,0,14,0
Audio Analyzer App,org.hammer,RecordingStatusPanel,471,0,30,0,87,0,27,0,10,0
Audio Analyzer App,org.hammer,ExperimentWorkbenchLauncher,106,49,6,6,34,12,10,5,7,2
Audio Analyzer App,org.hammer,ExperimentDocumentPreviewDialog.new SwingWorker() {...},58,0,0,0,12,0,3,0,3,0
Audio Analyzer App,org.hammer,ExperimentDocumentSwingActions,129,0,18,0,32,0,16,0,7,0
Audio Analyzer App,org.hammer,WaveformPanel.new ComponentAdapter() {...},20,45,1,3,1,8,1,3,0,2
Audio Analyzer App,org.hammer,SpectrumPanel,715,173,68,16,151,47,53,9,15,5
Audio Analyzer App,org.hammer,ExperimentDocumentPreviewDialog,179,0,8,0,41,0,10,0,6,0
Audio Analyzer App,org.hammer,ExperimentAudioAnalyseFrame.new WindowAdapter() {...},10,0,0,0,3,0,2,0,2,0
Audio Analyzer App,org.hammer,AudioAnalyseFrame.SwingAction,19,0,0,0,6,0,2,0,2,0
Audio Analyzer App,org.hammer,ExperimentDocumentFileChooser,75,0,6,0,17,0,7,0,4,0
Audio Analyzer App,org.hammer,PhaseDiagramPanel,13,35,2,0,3,8,2,2,1,2
Audio Analyzer App,org.hammer,WaveformPanel,918,74,82,2,168,19,55,4,13,4
Audio Analyzer App,org.hammer,AudioAnalyseFrame,3037,0,167,0,701,0,149,0,64,0
Audio Analyzer App,org.hammer.audio.experiment.document.workspace,ExperimentDocumentApplyException,0,13,0,0,0,4,0,2,0,2
Audio Analyzer App,org.hammer.audio.experiment.document.workspace,ExperimentDocumentWorkspaceService,19,170,9,23,3,36,9,15,0,8
Audio Analyzer App,org.hammer.audio.experiment.document.workspace,ExperimentDocumentWorkspaceService.ApplyResult,0,20,0,0,0,4,0,1,0,1
Audio Analyzer App,org.hammer.audio.experiment.document.http,ExperimentDocumentApplyHttpAdapter.ApplyResponse,0,20,0,0,0,4,0,1,0,1
Audio Analyzer App,org.hammer.audio.experiment.document.http,ExperimentDocumentApplyHttpAdapter,23,78,0,3,6,18,2,6,2,4
Audio Analyzer App,org.hammer.audio.experiment.document.http,ExperimentDocumentHttpAdapter.ErrorResponse,0,24,0,0,0,5,0,1,0,1
Audio Analyzer App,org.hammer.audio.experiment.document.http,ExperimentDocumentHttpAdapter.PreviewResponse,0,66,0,0,0,5,0,1,0,1
Audio Analyzer App,org.hammer.audio.experiment.document.http,ExperimentDocumentHttpAdapter,23,94,0,0,4,30,2,4,2,4
Audio Analyzer App,org.hammer.audio.infrastructure.workflow.history,CollaborationWorkflowHistoryAccessPolicy,0,41,1,5,0,10,1,5,0,3
Audio Analyzer App,org.hammer.audio.infrastructure.workflow.search,WorkflowSemanticPersistenceEntities,7,3,0,0,2,1,1,1,1,1
Audio Analyzer App,org.hammer.audio.infrastructure.workflow.search,WorkflowSemanticProjectionValues,26,335,7,11,6,78,7,18,0,16
Audio Analyzer App,org.hammer.audio.infrastructure.workflow.search,WorkflowSemanticIndexEntity,7,128,2,4,2,33,4,16,2,15
Audio Analyzer App,org.hammer.audio.infrastructure.workflow.search,WorkflowSemanticProjectionEntry,5,22,1,1,1,5,1,1,0,1
Audio Analyzer App,org.hammer.audio.infrastructure.workflow.search,WorkflowSemanticIndexService,34,324,9,21,8,84,8,17,0,10
Audio Analyzer App,org.hammer.audio.infrastructure.workflow.search,WorkflowSemanticQueryService,20,310,3,17,8,87,3,19,0,12
Audio Analyzer App,org.hammer.audio.infrastructure.workflow.search,WorkflowSemanticSchemaMigrations,7,0,0,0,2,0,1,0,1,0
Audio Analyzer App,org.hammer.audio.recording.runtime,RecordingStorageLevel,0,27,0,0,0,5,0,1,0,1
Audio Analyzer App,org.hammer.audio.recording.runtime,RecordingStorageStatus,42,77,3,5,2,9,5,3,2,2
Audio Analyzer App,org.hammer.audio.recording.runtime,RecordingStatus,35,104,12,6,3,10,10,3,2,2
Audio Analyzer App,org.hammer.audio.recording.runtime,FileStoreRecordingStorageProbe,184,0,36,0,35,0,22,0,4,0
Audio Analyzer App,org.hammer.audio.recording.runtime,RecordingState,0,39,0,0,0,7,0,1,0,1
Audio Analyzer App,org.hammer.audio.export,EvidenceData.Builder,10,38,0,0,4,14,2,8,2,8
Audio Analyzer App,org.hammer.audio.export,EvidenceData,8,85,9,7,0,22,7,12,0,11
Audio Analyzer App,org.hammer.audio.export,ReproducibilityBundleExporter,103,444,17,21,18,76,14,17,1,8
Audio Analyzer App,org.hammer.audio.export,EvidenceBundleExporter,252,778,32,44,35,133,32,21,1,11
Audio Analyzer App,org.hammer.audio.app.outbox,ScheduledWorkflowOutboxDispatcher,0,14,0,0,0,5,0,2,0,2
Audio Analyzer App,org.hammer.audio.app.outbox,ScheduledWorkflowOutboxRetention,155,19,2,0,32,6,4,2,3,2
Audio Analyzer App,org.hammer.audio.ui.theme,UiTheme,80,0,2,0,17,0,5,0,4,0
Audio Analyzer App,org.hammer.audio.ui.theme,PlotRenderTheme,42,666,2,16,9,107,4,22,2,15
Audio Analyzer App,org.hammer.audio.app,WorkflowRunConfiguration,12,7,0,0,2,2,2,2,2,2
Audio Analyzer App,org.hammer.audio.app,WorkflowSemanticSearchPersistenceConfiguration,0,5,0,0,0,2,0,2,0,2
Audio Analyzer App,org.hammer.audio.app,WorkflowSearchPersistenceConfiguration,0,5,0,0,0,2,0,2,0,2
