GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Audio Analyzer Core,org.hammer.audio.workflow.collaboration,WorkflowHistoryCapabilities,10,33,2,4,2,5,2,2,0,1
Audio Analyzer Core,org.hammer.audio.workflow.collaboration,OperationActor,22,33,3,3,4,8,4,1,1,1
Audio Analyzer Core,org.hammer.audio.workflow.collaboration,WorkflowSessionRecoveryException,24,0,0,0,7,0,3,0,3,0
Audio Analyzer Core,org.hammer.audio.workflow.collaboration,WorkflowCollaborationEvent.UndoDetails,0,31,0,0,0,6,0,1,0,1
Audio Analyzer Core,org.hammer.audio.workflow.collaboration,WorkflowOperationEnvelope,25,47,2,2,6,9,3,1,1,1
Audio Analyzer Core,org.hammer.audio.workflow.collaboration,WorkflowSessionRegistry,107,396,10,12,29,92,11,25,2,23
Audio Analyzer Core,org.hammer.audio.workflow.collaboration,WorkflowSessionEventHub,60,333,14,12,11,92,12,19,0,18
Audio Analyzer Core,org.hammer.audio.workflow.collaboration,WorkflowUndoPreview.BlockingOperation,5,29,1,1,1,7,1,1,0,1
Audio Analyzer Core,org.hammer.audio.workflow.collaboration,WorkflowUndoPreview,11,76,2,2,2,15,2,3,0,3
Audio Analyzer Core,org.hammer.audio.workflow.collaboration,WorkflowSessionEntry.RecoveryState,5,29,2,2,1,4,2,1,0,1
Audio Analyzer Core,org.hammer.audio.workflow.collaboration,WorkflowHistoryCommandResult,11,47,3,3,2,9,3,2,0,2
Audio Analyzer Core,org.hammer.audio.workflow.collaboration,InMemoryWorkflowEventOutbox,0,45,0,0,0,10,0,4,0,4
Audio Analyzer Core,org.hammer.audio.workflow.collaboration,WorkflowHistoryDescriptor,19,101,6,6,3,17,5,3,0,2
Audio Analyzer Core,org.hammer.audio.workflow.collaboration,WorkflowHistoryDescriptor.CommandKind,0,21,0,0,0,4,0,1,0,1
Audio Analyzer Core,org.hammer.audio.workflow.collaboration,WorkflowSessionEntry.SessionDefinition,0,38,0,0,0,7,0,1,0,1
Audio Analyzer Core,org.hammer.audio.workflow.collaboration,WorkflowSessionEventHub.Subscriber,12,103,7,9,4,29,6,9,0,7
Audio Analyzer Core,org.hammer.audio.workflow.collaboration,WorkflowSessionEntry,151,1717,29,129,30,394,30,103,3,51
Audio Analyzer Core,org.hammer.audio.workflow.collaboration,WorkflowSessionEvent.Type,0,45,0,0,0,8,0,1,0,1
Audio Analyzer Core,org.hammer.audio.workflow.collaboration,WorkflowSessionPersistenceCoordinator.AppendOutcome,0,26,0,0,0,4,0,1,0,1
Audio Analyzer Core,org.hammer.audio.workflow.collaboration,WorkflowEventOutbox.OutboxEntry,5,20,1,1,1,5,1,1,0,1
Audio Analyzer Core,org.hammer.audio.workflow.collaboration,CollaborativeWorkflowSessionService,89,394,15,23,17,89,17,23,2,19
