GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,ExperimentDocument.ExperimentInfo,13,61,6,2,2,11,4,2,0,2
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,PluginDocumentCatalog,168,621,33,51,44,145,26,28,0,12
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,ExperimentDocument.AssetReference,5,37,1,1,1,7,1,1,0,1
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,ExperimentDocument.PluginRequirement,5,31,1,1,1,7,1,2,0,2
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,ExperimentDocumentException,24,21,6,2,5,5,6,2,2,2
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,DocumentValueJson,91,186,11,21,15,37,12,17,2,9
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,ExperimentDocument.Provenance,7,67,3,5,1,13,3,3,0,2
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,ExperimentLocalBindings,0,56,0,2,0,12,0,5,0,4
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,ExperimentLocalBindingService,50,253,13,27,16,55,13,19,1,11
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,ExperimentDocumentCodec,201,1479,33,51,40,343,35,56,2,47
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,ExperimentDocumentCli,153,0,16,0,33,0,11,0,3,0
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,PluginDocumentCatalog.SectionKey,0,9,0,0,0,1,0,1,0,1
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,ExperimentDocument,24,230,4,8,4,48,4,12,0,10
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,ExperimentDocument.WorkflowPayload,5,30,1,1,1,6,1,1,0,1
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,ExperimentDocumentPreview,0,41,0,0,0,6,0,1,0,1
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,ExperimentDocument.OutputRequest,0,23,0,0,0,5,0,1,0,1
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,ExperimentLocalBindingPreview,0,22,0,0,0,4,0,1,0,1
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,ExperimentDocument.PluginSection,5,23,1,1,1,5,1,1,0,1
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,ExperimentDocumentService,24,135,3,5,5,28,5,10,2,9
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,PortableNames,5,91,12,16,1,19,12,4,0,2
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,PluginDocumentCatalog.RegisteredPlugin,0,9,0,0,0,1,0,1,0,1
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,LocalJsonSchemaValidator,289,363,55,34,59,63,46,15,3,9
Audio Analyzer Experiment Document,org.hammer.audio.experiment.document,DocumentHashes,7,95,1,5,2,19,1,8,0,6
