GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.benchmark,SnapshotGroundTruthAligner.MatchPair,0,15,0,0,0,6,0,3,0,3
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.benchmark,BenchmarkMeasurements,0,37,0,0,0,8,0,2,0,2
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.benchmark,ClassificationAccuracyMetric,25,90,12,16,5,12,12,5,0,3
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.benchmark,DopplerErrorMetric,37,200,16,28,7,34,16,12,0,6
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.benchmark,AlignedSourceObservation,0,17,0,0,0,4,0,1,0,1
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.benchmark,TrackingBenchmarkComparator.ComparisonAccumulator,24,465,4,24,4,104,4,24,0,14
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.benchmark,SnapshotGroundTruthAligner.Edge,0,43,0,0,0,16,0,8,0,8
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.benchmark,BenchmarkReport,236,572,18,26,12,92,19,17,1,13
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.benchmark,LocalizationErrorMetric,37,239,16,32,7,40,16,14,0,6
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.benchmark,SnapshotGroundTruthAligner.IndexedTrack,0,15,0,0,0,6,0,3,0,3
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.benchmark,GroundTruthObservation,0,53,1,11,0,7,1,10,0,5
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.benchmark,TrackingScenarioBenchmarkRunner,12,225,2,10,3,43,2,12,0,8
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.benchmark,TrackingBenchmarkComparator,43,494,20,54,9,108,16,36,0,15
